epoch,mark,Desired Torque (L),Measured Torque (L),Desired Torque (R),Measured Torque (R),Toe FSR (L),Stance Phase (L),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1769027950.852299,0,0.000000,0.000000,0.000000,1.400000,21.590000,0.000000,0.000000,0.430000,8.000000,32.910000
1769027950.864413,0,0.000000,0.000000,0.000000,1.500000,21.530000,0.000000,0.000000,0.440000,8.000000,32.930000
1769027950.864413,0,0.000000,0.000000,0.000000,1.530000,21.590000,0.000000,0.000000,0.440000,8.000000,32.950000
1769027950.864413,0,0.000000,0.000000,0.000000,1.650000,21.810000,0.000000,0.000000,0.460000,8.000000,32.970000
1769027950.892799,0,0.000000,0.000000,0.000000,1.710000,22.100000,0.000000,0.000000,0.460000,8.000000,32.970000
1769027950.911638,0,0.000000,0.000000,0.000000,1.960000,22.150000,0.000000,0.000000,0.460000,8.000000,33.000000
1769027950.927312,0,0.000000,0.000000,0.000000,1.980000,22.270000,0.000000,0.000000,0.470000,8.000000,33.000000
1769027950.936908,0,0.000000,0.000000,0.000000,2.110000,22.210000,0.000000,0.000000,0.500000,8.000000,33.020000
1769027950.959225,0,0.000000,0.000000,0.000000,2.170000,22.550000,0.000000,0.000000,0.500000,8.000000,33.040000
1769027950.965801,0,0.000000,0.000000,0.000000,2.290000,22.550000,0.000000,0.000000,0.520000,8.000000,33.060000
1769027950.980444,0,0.000000,0.000000,0.000000,2.390000,22.720000,0.000000,0.000000,0.540000,8.000000,33.060000
1769027951.006455,0,0.000000,0.000000,0.000000,2.510000,22.850000,0.000000,0.000000,0.550000,8.000000,33.090000
1769027951.006455,0,0.000000,0.000000,0.000000,2.530000,23.020000,0.000000,0.000000,0.560000,8.000000,33.090000
1769027951.022526,0,0.000000,0.000000,0.000000,2.750000,23.070000,0.000000,0.000000,0.560000,8.000000,33.110000
1769027951.034646,0,0.000000,0.000000,0.000000,2.800000,23.540000,0.000000,0.000000,0.570000,8.000000,33.130000
1769027951.054231,0,0.000000,0.000000,0.000000,3.060000,23.610000,0.000000,0.000000,0.580000,8.000000,33.150000
1769027951.069936,0,0.000000,0.000000,0.000000,3.180000,24.020000,0.000000,0.000000,0.600000,8.000000,33.160000
1769027951.092961,0,0.000000,0.000000,0.000000,3.320000,24.020000,0.000000,0.000000,0.610000,8.000000,33.180000
